DOI;first_author;year;species;life_stage;exposure_route;exposure_media;media_ph;media_temp_mean;media_temp_min;media_temp_max;exposure_duration_days;exposure_duration_effectsize_days;recovery_duration;nominal_dose_mass;nominal_dose_mass_units;nominal_dose_particles;nominal_dose_particles_units;nominal_dose_altern_category;nominal_dose_altern_type;nominal_dose_altern_type_units;measured_dose_mass;measured_dose_mass_units;measured_dose_particles;measured_dose_particles_units;measured_dose_altern_category;measured_dose_altern_type;measured_dose_altern_type_units;chem_contamination_screened_y_n;particle_cleaning_y_n;solvent_rinse;background_cont_check_y_n;uptake_validated_y_n;uptake_validation_method;organisms_fed_y_n;food_dose;food_dose_unit;food_type;experiment_comment;endpoint;c_n_replicates;c_ind_per_replicate;c_n_individuals;c_mean;c_SD;c_SE;c_unit;t_n_replicates;t_ind_per_replicate;t_n_individuals;t_mean;t_SD;t_SE;t_unit;data_comment;manufacturer;polymer_type;shape;size_length_mm_nominal_mean;size_length_mm_nominal_SD;size_length_mm_nominal_min;size_length_mm_nominal_max;size_length_mm_measured_mean;size_length_mm_measured_SD;size_length_mm_measured_min;size_length_mm_measured_max;size_width_mm_nominal_mean;size_width_mm_nominal_SD;size_width_mm_nominal_min;size_width_mm_nominal_max;size_width_mm_measured_mean;size_width_mm_measured_SD;size_width_mm_measured_min;size_width_mm_measured_max;size_height_mm_nominal_mean;size_height_mm_nominal_SD;size_height_mm_nominal_min;size_height_mm_nominal_max;size_height_mm_measured_mean;size_height_mm_measured_SD;size_height_mm_measured_min;size_height_mm_measured_max;UV_weathered_y_n;UV_intensity;UV_intensity_unit;UV_weathered_duration;weathered_biofouled_y_n;weathered_biofouled_duration;chemically_weathered_y_n;chemically_wheathered_chemical;chemically_weathered_duration;particle_comment
10.1016/j.envpol.2023.121285;Baihetiyaer;2023;Eisenia fetida;adult;sediment;OECD soil;NA;20;19;21;28;21;0;NA;NA;NA;NA;weight percent;1;% w w-1;NA;NA;NA;NA;NA;NA;NA;no;no;no;no;no;no;no;NA;NA;NA;soil: 10% peat moss, 20% kaolinite and 70% quartz sand;Catalase Activity;3;1;3;2.849673203;0.058823529;0.033961781;U/mg_protein;3;1;3;2.483660131;0.071895425;0.041508843;U/mg_protein;metaDigitise fig. 2b;NatureWorks (Plymouth, USA);PLA;NA;0.15;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.15;NA;NA;NA;NA;NA;NA;NA;no;NA;NA;NA;no;NA;no;NA;NA;"Only ""particles (150 µm)"" was reported"
10.1016/j.envpol.2023.121285;Baihetiyaer;2023;Eisenia fetida;adult;sediment;OECD soil;NA;20;19;21;28;28;0;NA;NA;NA;NA;weight percent;1;% w w-1;NA;NA;NA;NA;NA;NA;NA;no;no;no;no;no;no;no;NA;NA;NA;soil: 10% peat moss, 20% kaolinite and 70% quartz sand;Catalase Activity;3;1;3;4.516339869;0.026143791;0.015094125;U/mg_protein;3;1;3;4.294117647;0.006535948;0.003773531;U/mg_protein;metaDigitise fig. 2b;NatureWorks (Plymouth, USA);PLA;NA;0.15;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.15;NA;NA;NA;NA;NA;NA;NA;no;NA;NA;NA;no;NA;no;NA;NA;"Only ""particles (150 µm)"" was reported"
10.1016/j.envpol.2023.121285;Baihetiyaer;2023;Eisenia fetida;adult;sediment;OECD soil;NA;20;19;21;28;7;0;NA;NA;NA;NA;weight percent;1;% w w-1;NA;NA;NA;NA;NA;NA;NA;no;no;no;no;no;no;no;NA;NA;NA;soil: 10% peat moss, 20% kaolinite and 70% quartz sand;Malondialdehyde Concentration;3;1;3;1.055454545;0.019090909;0.011022142;nmol/ml_homogenate;3;1;3;0.602727273;0.038181818;0.022044283;nmol/ml_homogenate;metaDigitise fig. 4a;NatureWorks (Plymouth, USA);PLA;NA;0.15;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.15;NA;NA;NA;NA;NA;NA;NA;no;NA;NA;NA;no;NA;no;NA;NA;"Only ""particles (150 µm)"" was reported"
10.1016/j.envpol.2023.121285;Baihetiyaer;2023;Eisenia fetida;adult;sediment;OECD soil;NA;20;19;21;28;14;0;NA;NA;NA;NA;weight percent;1;% w w-1;NA;NA;NA;NA;NA;NA;NA;no;no;no;no;no;no;no;NA;NA;NA;soil: 10% peat moss, 20% kaolinite and 70% quartz sand;Malondialdehyde Concentration;3;1;3;0.867272727;0.073636364;0.042513974;nmol/ml_homogenate;3;1;3;1.303636364;0.019090909;0.011022142;nmol/ml_homogenate;metaDigitise fig. 4a;NatureWorks (Plymouth, USA);PLA;NA;0.15;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.15;NA;NA;NA;NA;NA;NA;NA;no;NA;NA;NA;no;NA;no;NA;NA;"Only ""particles (150 µm)"" was reported"
10.1016/j.envpol.2023.121285;Baihetiyaer;2023;Eisenia fetida;adult;sediment;OECD soil;NA;20;19;21;28;21;0;NA;NA;NA;NA;weight percent;1;% w w-1;NA;NA;NA;NA;NA;NA;NA;no;no;no;no;no;no;no;NA;NA;NA;soil: 10% peat moss, 20% kaolinite and 70% quartz sand;Malondialdehyde Concentration;3;1;3;1.399090909;0.098181818;0.056685299;nmol/ml_homogenate;3;1;3;1.164545455;0.073636364;0.042513974;nmol/ml_homogenate;metaDigitise fig. 4a;NatureWorks (Plymouth, USA);PLA;NA;0.15;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.15;NA;NA;NA;NA;NA;NA;NA;no;NA;NA;NA;no;NA;no;NA;NA;"Only ""particles (150 µm)"" was reported"
10.1016/j.envpol.2023.121285;Baihetiyaer;2023;Eisenia fetida;adult;sediment;OECD soil;NA;20;19;21;28;28;0;NA;NA;NA;NA;weight percent;1;% w w-1;NA;NA;NA;NA;NA;NA;NA;no;no;no;no;no;no;no;NA;NA;NA;soil: 10% peat moss, 20% kaolinite and 70% quartz sand;Malondialdehyde Concentration;3;1;3;1.377272727;0.019090909;0.011022142;nmol/ml_homogenate;3;1;3;0.859090909;0.038181818;0.022044283;nmol/ml_homogenate;metaDigitise fig. 4a;NatureWorks (Plymouth, USA);PLA;NA;0.15;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.15;NA;NA;NA;NA;NA;NA;NA;no;NA;NA;NA;no;NA;no;NA;NA;"Only ""particles (150 µm)"" was reported"
10.1016/j.envpol.2023.121285;Baihetiyaer;2023;Eisenia fetida;adult;sediment;OECD soil;NA;20;19;21;28;7;0;NA;NA;NA;NA;weight percent;1;% w w-1;NA;NA;NA;NA;NA;NA;NA;no;no;no;no;no;no;no;NA;NA;NA;soil: 10% peat moss, 20% kaolinite and 70% quartz sand;sod mRNA expression;3;1;3;1;0.02670227;0.015416563;fold_change;3;1;3;2.363150868;0.130173565;0.075155743;fold_change;metaDigitise fig. 5a;NatureWorks (Plymouth, USA);PLA;NA;0.15;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.15;NA;NA;NA;NA;NA;NA;NA;no;NA;NA;NA;no;NA;no;NA;NA;"Only ""particles (150 µm)"" was reported"
10.1016/j.envpol.2023.121285;Baihetiyaer;2023;Eisenia fetida;adult;sediment;OECD soil;NA;20;19;21;28;14;0;NA;NA;NA;NA;weight percent;1;% w w-1;NA;NA;NA;NA;NA;NA;NA;no;no;no;no;no;no;no;NA;NA;NA;soil: 10% peat moss, 20% kaolinite and 70% quartz sand;sod mRNA expression;3;1;3;1;0.046728972;0.026978985;fold_change;3;1;3;1.118157543;0.076769025;0.044322617;fold_change;metaDigitise fig. 5a;NatureWorks (Plymouth, USA);PLA;NA;0.15;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.15;NA;NA;NA;NA;NA;NA;NA;no;NA;NA;NA;no;NA;no;NA;NA;"Only ""particles (150 µm)"" was reported"
10.1016/j.envpol.2023.121285;Baihetiyaer;2023;Eisenia fetida;adult;sediment;OECD soil;NA;20;19;21;28;21;0;NA;NA;NA;NA;weight percent;1;% w w-1;NA;NA;NA;NA;NA;NA;NA;no;no;no;no;no;no;no;NA;NA;NA;soil: 10% peat moss, 20% kaolinite and 70% quartz sand;sod mRNA expression;3;1;3;1;0.103471295;0.05973918;fold_change;3;1;3;0.490654206;0.033377837;0.019270703;fold_change;metaDigitise fig. 5a;NatureWorks (Plymouth, USA);PLA;NA;0.15;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.15;NA;NA;NA;NA;NA;NA;NA;no;NA;NA;NA;no;NA;no;NA;NA;"Only ""particles (150 µm)"" was reported"
10.1016/j.envpol.2023.121285;Baihetiyaer;2023;Eisenia fetida;adult;sediment;OECD soil;NA;20;19;21;28;28;0;NA;NA;NA;NA;weight percent;1;% w w-1;NA;NA;NA;NA;NA;NA;NA;no;no;no;no;no;no;no;NA;NA;NA;soil: 10% peat moss, 20% kaolinite and 70% quartz sand;sod mRNA expression;3;1;3;1;0.043391188;0.025051914;fold_change;3;1;3;0.483978638;0.030040053;0.017343633;fold_change;metaDigitise fig. 5a;NatureWorks (Plymouth, USA);PLA;NA;0.15;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.15;NA;NA;NA;NA;NA;NA;NA;no;NA;NA;NA;no;NA;no;NA;NA;"Only ""particles (150 µm)"" was reported"
